"direccion","barrio","metraje","moneda","precio","operacion","tipoPropiedad","fecha"
"Alfredo Bufano 1000","Flores",40,"dolares",50000,"venta","departamento",2015-08-20
"Alfredo Bufano 1000","Flores",36,"dolares",54000,"venta","departamento",2015-08-20
"Alfredo Bufano 1000","Flores",50,"dolares",72500,"venta","departamento",2015-08-20
"Malabia 1900","Palermo Soho",42,"dolares",105600,"venta","departamento",2015-08-20
"Malabia 1900","Palermo Soho",81,"dolares",177500,"venta","departamento",2015-08-20
"Juan De Dios Filiberto 1000","Boca",23,"pesos",449360,"venta","departamento",2015-08-20
"Juan De Dios Filiberto 1000","Boca",41,"pesos",781830,"venta","departamento",2015-08-20
"Juan De Dios Filiberto 1000","Boca",26,"pesos",499183,"venta","departamento",2015-08-20
"Juan De Dios Filiberto 1000","Boca",28,"pesos",534633,"venta","departamento",2015-08-20
"Thames 600","Villa Crespo",44,"dolares",96000,"venta","departamento",2015-08-20
"Thames 600","Villa Crespo",57,"dolares",13500,"venta","departamento",2015-08-20
"Dr. Romulo Naon 3500","Nuñez",65,"dolares",149000,"venta","departamento",2015-08-20
"José Ignacio Gorriti 3700","Barrio Norte",65,"dolares",135000,"venta","departamento",2015-08-20
"José Ignacio Gorriti 3700","Barrio Norte",65,"dolares",160000,"venta","departamento",2015-08-20
"José Ignacio Gorriti 3700","Barrio Norte",113,"dolares",160000,"venta","departamento",2015-08-20
"Guemes 3000","Palermo",51,"dolares",118422,"venta","departamento",2015-08-20
"Guemes 3000","Palermo",37,"dolares",84915,"venta","departamento",2015-08-20
"Guemes 3000","Palermo",69,"dolares",179540,"venta","departamento",2015-08-20
"Ravignani 1400","Palermo Hollywood",50,"dolares",130000,"venta","departamento",2015-08-20
"Ravignani 1400","Palermo Hollywood",49,"dolares",130000,"venta","departamento",2015-08-20
"Jorge Newbery 3400","Palermo Hollywood",89,"dolares",250000,"venta","departamento",2015-08-20
"Jorge Newbery 3400","Palermo Hollywood",89,"dolares",260000,"venta","departamento",2015-08-20
"Darwin 1200","Villa Crespo",28,"dolares",79000,"venta","departamento",2015-08-20
"Darwin 1200","Villa Crespo",95,"dolares",79000,"venta","departamento",2015-08-20
"Sinclair 3100","Palermo",43,"dolares",124300,"venta","departamento",2015-08-20
"Sinclair 3100","Palermo",64,"dolares",188540,"venta","departamento",2015-08-20
"Sinclair 3100","Palermo",47,"dolares",138490,"venta","departamento",2015-08-20
"Virrey Olaguer Y Feliú 2400","Belgrano",80,"dolares",254000,"venta","departamento",2015-08-20
"Araoz 2300","Palermo",44,"dolares",122000,"venta","departamento",2015-08-20
"Araoz 2300","Palermo",35,"dolares",110000,"venta","departamento",2015-08-20
"Soldado De La Independencia 700","Las Cañitas",36,"dolares",107675,"venta","departamento",2015-08-20
"Soldado De La Independencia 700","Las Cañitas",50,"dolares",153049,"venta","departamento",2015-08-20
